# What our producers emit, and what is done with it.
#
# One line per key path a recorded document contains, with the type found at
# it. "read" means the reader acts on it; "skipped" means it has been seen and
# deliberately left alone.
#
# A path in a document and not in this list fails the test. That is the point:
# a field nobody reads because it was never noticed and one nobody reads
# because it was considered look the same in the code, and only one of them is
# a decision.
#
# Add newly seen paths with: go test ./internal/sbom -update
skipped $schema:string
read @context:string
read @graph[].@id:string
skipped @graph[].comment:string
skipped @graph[].completeness:string
skipped @graph[].contentType:string
read @graph[].created:string
skipped @graph[].createdBy[]:string
skipped @graph[].createdUsing[]:string
read @graph[].creationInfo:string
skipped @graph[].dataLicense:string
skipped @graph[].description:string
read @graph[].externalIdentifier[].externalIdentifierType:string
read @graph[].externalIdentifier[].identifier:string
skipped @graph[].externalIdentifier[].type:string
read @graph[].from:string
skipped @graph[].import[].externalSpdxId:string
skipped @graph[].import[].locationHint:string
skipped @graph[].import[].type:string
skipped @graph[].import[].verifiedUsing[].algorithm:string
skipped @graph[].import[].verifiedUsing[].hashValue:string
skipped @graph[].import[].verifiedUsing[].type:string
read @graph[].name:string
skipped @graph[].namespaceMap[].namespace:string
skipped @graph[].namespaceMap[].prefix:string
skipped @graph[].namespaceMap[].type:string
skipped @graph[].originatedBy[]:string
skipped @graph[].profileConformance[]:string
read @graph[].relationshipType:string
read @graph[].rootElement[]:string
read @graph[].scope:string
skipped @graph[].simplelicensing_customIdToUri[].key:string
skipped @graph[].simplelicensing_customIdToUri[].type:string
skipped @graph[].simplelicensing_customIdToUri[].value:string
read @graph[].simplelicensing_licenseExpression:string
skipped @graph[].software_attributionText[]:string
skipped @graph[].software_copyrightText:string
skipped @graph[].software_downloadLocation:string
skipped @graph[].software_homePage:string
read @graph[].software_packageUrl:string
read @graph[].software_packageVersion:string
skipped @graph[].software_primaryPurpose:string
skipped @graph[].software_sourceInfo:string
read @graph[].spdxId:string
read @graph[].specVersion:string
skipped @graph[].summary:string
skipped @graph[].suppliedBy:string
read @graph[].to[]:string
read @graph[].type:string
skipped @graph[].verifiedUsing[].algorithm:string
skipped @graph[].verifiedUsing[].hashValue:string
skipped @graph[].verifiedUsing[].type:string
skipped @id:string
skipped SPDXID:string
skipped _comment:string
skipped author:string
read bomFormat:string
skipped comment:string
skipped components[].author:string
read components[].bom-ref:string
read components[].components[].name:string
read components[].components[].purl:string
skipped components[].components[].type:string
read components[].components[].version:string
read components[].cpe:string
skipped components[].description:string
skipped components[].externalReferences[].comment:string
skipped components[].externalReferences[].hashes[].alg:string
skipped components[].externalReferences[].hashes[].content:string
skipped components[].externalReferences[].type:string
skipped components[].externalReferences[].url:string
skipped components[].group:string
skipped components[].hashes[].alg:string
